id,name,normalized_name,gender,Simpson_fam
4067,Isabel Sanford,isabel sanford,f,FALSE
4068,'70s Announcer,70s announcer,u,FALSE
4069,Paul Lynde,paul lynde,m,FALSE
4070,Nadia Comaneci,nadia comaneci,f,FALSE
4071,Lancelot Link,lancelot link,m,FALSE
4072,K.I.T.T.,kitt,u,FALSE
4073,Salem the Cat,salem the cat,u,FALSE
4074,Mr. Ed,mr ed,m,FALSE
4075,Woman Bystander,woman bystander,f,FALSE
4076,SCRATCHY'S FACE,scratchys face,u,FALSE
4077,Indigent Man,indigent man,m,FALSE
4078,Yesss Man,yesss man,m,FALSE
4079,Airline Employee,airline employee,u,FALSE
4080,Boy #2,boy 2,m,FALSE
4081,Cap City Boys,cap city boys,m,FALSE
4082,Little Milhouse,little milhouse,m,FALSE
4083,Indigent Woman,indigent woman,f,FALSE
4084,Miss Wickerbottom,miss wickerbottom,f,FALSE
4085,Phonic Frog,phonic frog,u,FALSE
4087,Ticket Vendor,ticket vendor,u,FALSE
4088,Creepy Little Girl,creepy little girl,f,FALSE
4089,Mysterious Noise,mysterious noise,u,FALSE
4090,Sec Agent #1,sec agent 1,u,FALSE
4091,Sec Agent #2,sec agent 2,u,FALSE
4092,Committee Chairwoman,committee chairwoman,f,FALSE
4093,Congressional Committee,congressional committee,u,FALSE
4094,Arties,arties,m,FALSE
4095,Female Ticket Vendor,female ticket vendor,f,FALSE
4096,Human Senator,human senator,u,FALSE
4097,2nd Voice,2nd voice,u,FALSE
4098,Enormous Robot,enormous robot,u,FALSE
4099,Miner Father,miner father,m,FALSE
4100,Jason,jason,m,FALSE
4101,Jim-Jam,jim-jam,m,FALSE
4102,Wise Alien,wise alien,u,FALSE
4103,Geeky Programmer,geeky programmer,u,FALSE
4104,Man In Suit,man in suit,m,FALSE
4105,Vintner,vintner,u,FALSE
4106,RANDALL,randall,m,FALSE
4107,Randall Curtis,randall curtis,m,FALSE
4108,Germans,germans,u,FALSE
4109,Alcoholics,alcoholics,u,FALSE
4110,Kyle,kyle,m,FALSE
4111,Greeter,greeter,u,FALSE
4112,Store Employee,store employee,u,FALSE
4113,Juvies,juvies,u,FALSE
4114,Crowd Of Mice,crowd of mice,u,FALSE
4115,Juvie #1,juvie 1,u,FALSE
4117,Girl Juvies,girl juvies,f,FALSE
4118,Boy Juvie,boy juvie,m,FALSE
4119,Juvie #2,juvie 2,u,FALSE
4120,Juvie Girl,juvie girl,f,FALSE
4121,Female Alien,female alien,f,FALSE
4122,Blacksmith,blacksmith,u,FALSE
4123,Skinner On Plaque,skinner on plaque,m,FALSE
4124,CYBORG SPIDER MRS. SKINNER,cyborg spider mrs skinner,f,FALSE
4125,Wedding Guests,wedding guests,u,FALSE
4126,White Rabbit,white rabbit,u,FALSE
4127,Hulk,hulk,m,FALSE
4128,Klingons,klingons,u,FALSE
4129,PRINCIPAL SKINNER CT,principal skinner ct,m,FALSE
4130,Klingon #1,klingon 1,u,FALSE
4131,Klingon #2,klingon 2,u,FALSE
4132,Convention Freak,convention freak,u,FALSE
4133,Klingon Wedding Minister,klingon wedding minister,u,FALSE
4134,Unrecognizable Simpsons,unrecognizable simpsons,u,FALSE
4135,Uncle Tyrone,uncle tyrone,m,FALSE
4136,Ryan O'Neal,ryan oneal,m,FALSE
4137,Ali McGraw,ali mcgraw,f,FALSE
4138,Miami Passengers,miami passengers,u,FALSE
4139,Fit Man,fit man,m,FALSE
4140,10 Years Younger Homer,10 years younger homer,m,TRUE
4141,10 Years Younger Marge,10 years younger marge,f,TRUE
4142,Female Gate Announcer,female gate announcer,f,FALSE
4143,1st Class Stewardess,1st class stewardess,f,FALSE
4144,Hotel Operator,hotel operator,u,FALSE
4145,Young Wife,young wife,f,FALSE
4146,Young Husband,young husband,m,FALSE
4147,Animal Character,animal character,u,FALSE
4148,Widow #1,widow 1,f,FALSE
4149,Widow #2,widow 2,f,FALSE
4150,Widows,widows,f,FALSE
4151,Attractive Widow,attractive widow,f,FALSE
4152,Raoul,raoul,m,FALSE
4153,American Skipper,american skipper,u,FALSE
